Tr CF, SWiM Ch, Primary Tr CF, Primary Tr BW,Primary Power, Upper CF, Upper BW, Upper Power, Lower CF, Lower BW, Lower Power,Total Integrated Power, SLG Primary, SLG Upper, SLG Lower, Output Primary, Output Upper, Output Lower
MHz, ,MHz, MHz, dBm, MHz, MHz, dBm, MHz, MHz, dBm, dBm, 
1032, 1, 974, 24, -29.7, 994, 6, -35.8, 954, 6, -46.8, -28.7, 1, 1, 1, 1, 19, 10
1032, 2, 1025, 24, -29.7, 1045, 6, -35.8, 1005, 6, -46.8, -28.7, 1, 1, 2, 20, 11
1032, 3, 1076, 24, -29.7, 1096, 6, -35.8, 1056, 6, -46.8, -28.7, 1, 1, 1, 3, 21, 12
1032, 4, 1127, 24, -29.8, 1147, 6, -35.9, 1107, 6, -46.9, -28.8, 1, 1, 1, 4, 22, 13
1032, 5, 1178, 24, -29.8, 1198, 6, -35.9, 1158, 6, -46.9, -28.8, 1, 1, 1, 5, 23, 14
1032, 6, 1229, 24, -29.8, 1249, 6, -35.9, 1209, 6, -46.9, -28.8, 1, 1, 1, 6, 24, 15
1032, 7, 1280, 24, -29.9, 1300, 6, -36.0, 1260, 6, -47.0, -28.9, 1, 1, 1, 7, 25, 16
1032, 8, 1331, 24, -29.9, 1351, 6, -36.0, 1311, 6, -47.0, -28.9, 1, 1, 1, 8, 26, 17
1032, 9, 1382, 24, -29.9, 1402, 6, -36.0, 1362, 6, -47.0, -28.9, 1, 1, 1, 9, 27, 18
1032, 10, 1433, 24, -30.0, 1453, 6, -36.1, 1413, 6, -47.1, -29.0, 2, 2, 2, 1, 13, 7
1032, 11, 1484, 24, -30.0, 1504, 6, -36.1, 1464, 6, -47.1, -29.0, 2, 2, 2, 2, 14, 8
1032, 12, 1535, 24, -30.0, 1555, 6, -36.1, 1515, 6, -47.1, -29.0, 2, 2, 2, 3, 15, 9
1032, 13, 1586, 24, -30.1, 1606, 6, -36.2, 1566, 6, -47.2, -29.1, 2, 2, 2, 4, 16, 10
1032, 14, 1637, 24, -30.1, 1657, 6, -36.2, 1617, 6, -47.2, -29.1, 2, 2, 2, 5, 17, 11
1032, 15, 1688, 24, -30.1, 1708, 6, -36.2, 1668, 6, -47.2, -29.1, 2, 2, 2, 6, 18, 12
1032, 16, 1739, 24, -30.2, 1759, 6, -36.3, 1719, 6, -47.3, -29.2, 3, 3, 3, 1, 17, 9
1032, 17, 1790, 24, -30.2, 1810, 6, -36.3, 1770, 6, -47.3, -29.2, 3, 3, 3, 2, 18, 10
1032, 18, 1842, 24, -30.2, 1862, 6, -36.3, 1822, 6, -47.3, -29.2, 3, 3, 3, 3, 19, 11 
1032, 19, 1893, 24, -30.3, 1913, 6, -36.4, 1873, 6, -47.4, -29.3, 3, 3, 3, 4, 20, 12
1032, 20, 1944, 24, -30.3, 1964, 6, -36.4, 1924, 6, -47.4, -29.3, 3, 3, 3, 5, 21, 13
1032, 21, 1995, 24, -30.4, 2015, 6, -36.5, 1975, 6, -47.5, -29.4, 3, 3, 3, 6, 22, 14
1032, 22, 2046, 24, -30.4, 2066, 6, -36.5, 2026, 6, -47.5, -29.4, 3, 3, 3, 7, 23, 15
1003, 23, 2097, 24, -43.0, 2117, 6, -38.1, 2077, 6, -38.1, -34.4, 3, 3, 3, 8, 24, 16
