Index,Mode #,Broadcast Standard,Modulation,Code,Inner Code Rate,Min Symbol Rate,Typical Symbol Rate,Max Symbol Rate,Payload Bits/Symbol,Payload Rate,QEF,C/N for QEF Code Only
0,0,DUMMYPLFRAME,DUMMYPLFRAME,DUMMYPLFRAME,DUMMYPLFRAME,nan,nan,nan,nan,nan,nan,nan
1,1,DVB-S2,QPSK,LDPC + BCH,1/4,10,20,30,0.490,9.80,1.00E-07,-2.35
2,2,DVB-S2,QPSK,LDPC + BCH,1/3,10,20,30,0.656,13.12,1.00E-07,-1.24
3,3,DVB-S2,QPSK,LDPC + BCH,2/5,10,20,30,0.789,15.78,1.00E-07,-0.30
4,4,DVB-S2,QPSK,LDPC + BCH,1/2,10,20,30,0.989,19.78,1.00E-07,1.00
5,5,DVB-S2,QPSK,LDPC + BCH,3/5,10,20,30,1.188,23.76,1.00E-07,2.23
6,6,DVB-S2,QPSK,LDPC + BCH,2/3,10,20,30,1.322,26.44,1.00E-07,3.10
7,7,DVB-S2,QPSK,LDPC + BCH,3/4,10,20,30,1.487,29.74,1.00E-07,4.03
8,8,DVB-S2,QPSK,LDPC + BCH,4/5,10,20,30,1.587,31.74,1.00E-07,4.68
9,9,DVB-S2,QPSK,LDPC + BCH,5/6,10,20,30,1.655,33.10,1.00E-07,5.18
10,10,DVB-S2,QPSK,LDPC + BCH,8/9,10,20,30,1.766,35.32,1.00E-07,6.20
11,11,DVB-S2,QPSK,LDPC + BCH,9/10,10,20,30,1.789,35.78,1.00E-07,6.42
12,12,DVB-S2,8PSK,LDPC + BCH,3/5,10,20,30,1.780,35.60,1.00E-07,5.50
13,13,DVB-S2,8PSK,LDPC + BCH,2/3,10,20,30,1.981,39.62,1.00E-07,6.62
14,14,DVB-S2,8PSK,LDPC + BCH,3/4,10,20,30,2.228,44.56,1.00E-07,7.91
15,15,DVB-S2,8PSK,LDPC + BCH,5/6,10,20,30,2.479,49.58,1.00E-07,9.35
16,16,DVB-S2,8PSK,LDPC + BCH,8/9,10,20,30,2.646,52.92,1.00E-07,10.69
17,17,DVB-S2,8PSK,LDPC + BCH,9/10,10,20,30,2.679,53.58,1.00E-07,10.98
18,18,DVB-S2,16APSK,LDPC + BCH,2/3,10,20,30,2.637,52.74,1.00E-07,8.97
19,19,DVB-S2,16APSK,LDPC + BCH,3/4,10,20,30,2.967,59.34,1.00E-07,10.21
20,20,DVB-S2,16APSK,LDPC + BCH,4/5,10,20,30,3.166,63.32,1.00E-07,11.03
21,21,DVB-S2,16APSK,LDPC + BCH,5/6,10,20,30,3.300,66.00,1.00E-07,11.61
22,22,DVB-S2,16APSK,LDPC + BCH,8/9,10,20,30,3.523,70.46,1.00E-07,12.89
23,23,DVB-S2,16APSK,LDPC + BCH,9/10,10,20,30,3.567,71.34,1.00E-07,13.13
24,24,DVB-S2,32APSK,LDPC + BCH,3/4,10,10,30,3.703,37.03,1.00E-07,12.73
25,25,DVB-S2,32APSK,LDPC + BCH,4/5,10,10,30,3.952,39.52,1.00E-07,13.64
26,26,DVB-S2,32APSK,LDPC + BCH,5/6,10,10,30,4.120,41.20,1.00E-07,14.28
27,27,DVB-S2,32APSK,LDPC + BCH,8/9,10,10,30,4.398,43.98,1.00E-07,15.69
28,28,DVB-S2,32APSK,LDPC + BCH,9/10,10,10,30,4.453,44.53,1.00E-07,16.05
29,29,RESERVED,RESERVED,RESERVED,RESERVED,nan,nan,nan,nan,nan,nan,nan
30,30,RESERVED,RESERVED,RESERVED,RESERVED,nan,nan,nan,nan,nan,nan,nan
31,31,RESERVED,RESERVED,RESERVED,RESERVED,nan,nan,nan,nan,nan,nan,nan
