Freq (Hz),Scen 1 Power (dBm),Scen 2 Power (dBm),SLG,mod
954000000,-46.8,-56.1,1,10
974000000,-29.7,-39,1,1
994000000,-35.8,-45.1,1,19
1005000000,-46.8,-56.4,1,11
1025000000,-29.7,-39.3,1,2
1045000000,-35.8,-45.4,1,20
1056000000,-46.8,-56.6,1,12
1076000000,-29.7,-39.5,1,3
1096000000,-35.8,-45.6,1,21
1107000000,-46.9,-56.8,1,13
1127000000,-29.8,-39.7,1,4
1147000000,-35.9,-45.8,1,22
1158000000,-46.9,-57.1,1,14
1178000000,-29.8,-40,1,5
1198000000,-35.9,-46.1,1,23
1209000000,-46.9,-57.3,1,15
1229000000,-29.8,-40.2,1,6
1249000000,-35.9,-46.3,1,24
1260000000,-47,-57.6,1,16
1280000000,-29.9,-40.5,1,7
1300000000,-36,-46.5,1,25
1311000000,-47,-57.8,1,17
1331000000,-29.9,-40.7,1,8
1351000000,-36,-46.8,1,26
1362000000,-47,-58.1,1,18
1382000000,-29.9,-41,1,9
1402000000,-36,-47.1,1,27
1413000000,-47.1,-58.3,2,7
1433000000,-30,-41.2,2,1
1453000000,-36.1,-47.3,2,13
1464000000,-47.1,-58.5,2,8
1484000000,-30,-41.4,2,2
1504000000,-36.1,-47.5,2,14
1515000000,-47.1,-58.8,2,9
1535000000,-30,-41.9,2,3
1555000000,-36.1,-47.8,2,15
1566000000,-47.2,-59,2,10
1586000000,-30.1,-41.9,2,4
1606000000,-36.2,-48,2,16
1617000000,-47.2,-59.3,2,11
1637000000,-30.1,-42.2,2,5
1657000000,-36.2,-48.3,2,17
1668000000,-47.2,-59.5,2,12
1688000000,-30.1,-42.4,2,7
1708000000,-36.2,-48.5,2,18
1719000000,-47.3,-59.7,3,9
1739000000,-30.2,-42.6,3,1
1759000000,-36.3,-48.7,3,17
1770000000,-47.3,-60,3,10
1790000000,-30.2,-42.9,3,2
1810000000,-36.3,-49,3,18
1822000000,-47.3,-60.2,3,11
1842000000,-30.2,-43.1,3,3
1862000000,-36.3,-49.2,3,19
1873000000,-47.4,-60.5,3,12
1893000000,-30.3,-43.4,3,4
1913000000,-36.4,-49.5,3,20
1924000000,-47.4,-60.7,3,13
1944000000,-30.3,-43.6,3,5
1964000000,-36.4,-49.7,3,21
1975000000,-47.5,-61,3,14
1995000000,-30.4,-43.9,3,6
2015000000,-36.5,-50,3,22
2026000000,-47.5,-61.2,3,15
2046000000,-30.4,-44.1,3,7
2066000000,-36.5,-50.2,3,23
2077000000,-38.1,-52,3,16
2097000000,-30.4,-44.1,3,8
2117000000,-38.1,-52,3,24
