Desired Frequency (Hz),BTC Power (dBm),AIM Power (dBm),AIM SNR (dB),AIM Demod Lock,AIM Demod Acq Time (sec),Bert Lock,Bert Total Bit Count,Bert Total Bit Error,Bit Error Rate
270000000,-76.4,-83.62229761,7.59274015,TRUE,0.25,TRUE,3457234848,0,0
280000000,-76.7,-83.93763416,7.547345185,TRUE,0,TRUE,3454053040,0,0
290000000,-76.7,-85.23672316,7.276790034,TRUE,0,TRUE,3455652080,0,0
300000000,-79.5,-86.54914628,6.815008104,TRUE,0.25,TRUE,3457022456,0,0
310000000,-79.4,-86.49465435,6.83014381,TRUE,0.25,TRUE,3458208840,0,0
320000000,-79.4,-86.32450348,6.865497248,TRUE,0.25,TRUE,3459325776,0,0
330000000,-78.8,-86.07063894,6.946028107,TRUE,0.25,TRUE,3457831752,0,0
340000000,-78.8,-85.78696537,6.943152055,TRUE,0,TRUE,3454220632,0,0
350000000,-79.2,-86.6,7.2,TRUE,0,TRUE,3454859104,0,0
360000000,-78.5,-86.5,7.285204278,TRUE,0.25,TRUE,3457700256,0,0
370000000,-78.4,-85.8,7,TRUE,0,TRUE,3455077432,0,0
380000000,-78.8,-86.2,7.035733996,TRUE,0,TRUE,3459284368,0,0
390000000,-79.2,-86.5,7.145509001,TRUE,0,TRUE,3453481384,0,0
400000000,-78.8,-86.3,6.75,TRUE,0,TRUE,3454314400,0,0
410000000,-77.4,-85.2,7.220097355,TRUE,0,TRUE,3455388336,0,0
420000000,-76.6,-84.65,7.342784352,TRUE,0,TRUE,3453931904,0,0
430000000,-77.2,-85.5,7.182218229,TRUE,0.25,TRUE,3456825352,0,0
450000000,-78.2,-86.2100452,6.566286565,TRUE,0,TRUE,3455131160,0,0
470000000,-77.7,-85.76959956,6.613806878,TRUE,0,TRUE,3453885240,0,0
490000000,-77.8,-85.98376737,6.544069681,TRUE,0.25,TRUE,3457661208,0,0
510000000,-78.3,-86.40184337,6.672132692,TRUE,0,TRUE,3453099304,0,0
530000000,-78.8,-86.97821194,6.709740866,TRUE,0.25,TRUE,3457014992,0,0
550000000,-79.1,-86.99425874,6.573782763,TRUE,0.25,TRUE,3458481840,0,0
570000000,-78.6,-86.60705828,6.633489229,TRUE,0.25,TRUE,3457979288,0,0
590000000,-77.9,-86.29635172,7.182278495,TRUE,0.25,TRUE,3459171144,0,0
610000000,-78.2,-87.1,8.8,TRUE,0.25,TRUE,3459089824,0,0
630000000,-77.9,-86.9,8.1,TRUE,0.25,TRUE,3457425984,0,0
650000000,-77.4,-86.59833937,7.476536157,TRUE,0.25,TRUE,3459242480,0,0
670000000,-77.2,-86.70992519,6.911076668,TRUE,0,TRUE,3454028920,0,0
690000000,-77.4,-86.74302425,6.826358716,TRUE,0,TRUE,3453079792,0,0
710000000,-77.3,-86.31148449,7.072075244,TRUE,0,TRUE,3454217544,0,0
730000000,-77.8,-86.87629788,6.656586218,TRUE,0.25,TRUE,3457889072,0,0
970000000,-77.8,-86.63662781,6.506787578,TRUE,0,TRUE,3454222992,0,0
990000000,-77.9,-87.09899522,6.526716016,TRUE,0.25,TRUE,3458667504,0,0
1010000000,-77.9,-86.69761581,6.496233926,TRUE,0.25,TRUE,3458644080,0,0
