Frequency (Hz),Insertion Loss (dB)
30000,-9.45753265663725
3154962.5,-0.950993357652685
6279925,-0.94653121541803
9404887.5,-0.982581366867029
12529850,-1.01144454001712
15654812.5,-1.05205484154578
18779775,-1.08036009763508
21904737.5,-1.10027756075705
25029700,-1.12093854489902
28154662.5,-1.13005407429407
31279625,-1.16064315322928
34404587.5,-1.15774983287164
37529550,-1.17729303052101
40654512.5,-1.18354223000308
43779475,-1.21291340497962
46904437.5,-1.22898904405086
50029400,-1.24525067503858
53154362.5,-1.23931206461667
56279325,-1.25511303540079
59404287.5,-1.27999780967631
62529250,-1.3023465406421
65654212.5,-1.307474750605
68779175,-1.31558527888256
71904137.5,-1.31692743032808
75029100,-1.32526705353809
78154062.5,-1.34613606818109
81279025,-1.34838227174134
84403987.5,-1.35704834789803
87528950,-1.37699246443818
90653912.5,-1.39378372384165
93778875,-1.40197928758896
96903837.5,-1.42141601033743
100028800,-1.42573224359537
103153762.5,-1.43312469746657
106278725,-1.43341853105833
109403687.5,-1.45532577311221
112528650,-1.45471382730547
115653612.5,-1.46051009109369
118778575,-1.46836582294438
121903537.5,-1.48270059366278
125028500,-1.48828904013707
128153462.5,-1.49646305276277
131278425,-1.50648254756014
134403387.5,-1.50475920836956
137528350,-1.50558266268562
140653312.5,-1.51918807465987
143778275,-1.5316488786605
146903237.5,-1.53243505886
150028200,-1.53855878041282
153153162.5,-1.54048576134693
156278125,-1.56779579907358
159403087.5,-1.56096017301633
162528050,-1.57807329939156
165653012.5,-1.57917519579961
168777975,-1.59747011107652
171902937.5,-1.59665409866212
175027900,-1.6011904605789
178152862.5,-1.62362108486541
181277825,-1.61430641490822
184402787.5,-1.62266162831439
187527750,-1.62925881595865
190652712.5,-1.62159196148131
193777675,-1.63919927687347
196902637.5,-1.64964151120739
200027600,-1.64388912168562
203152562.5,-1.65323164547014
206277525,-1.65423580061475
209402487.5,-1.67861743715781
212527450,-1.68664142913295
215652412.5,-1.67330896920797
218777375,-1.68572661312267
221902337.5,-1.69370174316376
