Frequency (Hz),Insertion Loss (dB)
30000,-24.3827912168206
3154962.5,-14.9452419737972
6279925,-14.8772073120431
9404887.5,-14.9205579183908
12529850,-15.016643069416
15654812.5,-15.0695354153049
18779775,-15.0767316198645
21904737.5,-15.1048005699524
25029700,-15.0929846172475
28154662.5,-15.0844593873697
31279625,-15.1166330922265
34404587.5,-15.1110323376987
37529550,-15.1174467080117
40654512.5,-15.1996868637187
43779475,-15.2161386347511
46904437.5,-15.2594338363934
50029400,-15.2842088163459
53154362.5,-15.2103475106118
56279325,-15.3436505752836
59404287.5,-15.2681382161647
62529250,-15.3318499932693
65654212.5,-15.2946343736736
68779175,-15.3069131231445
71904137.5,-15.3358370709409
75029100,-15.2707817619282
78154062.5,-15.3233378041082
81279025,-15.3918043973095
84403987.5,-15.4702101480246
87528950,-15.3906275263046
90653912.5,-15.4059176002517
93778875,-15.4884676115837
96903837.5,-15.4791621583894
100028800,-15.4006318563889
103153762.5,-15.4099891671356
106278725,-15.427276328695
109403687.5,-15.4318282549975
112528650,-15.4527590487026
115653612.5,-15.5007175226278
118778575,-15.5295204104807
121903537.5,-15.5524042054472
125028500,-15.5818257939496
128153462.5,-15.5863284808696
131278425,-15.5365738083171
134403387.5,-15.5095274820987
137528350,-15.5201046433648
140653312.5,-15.5588471709357
143778275,-15.5534223970677
146903237.5,-15.5633843723329
150028200,-15.5316264723704
153153162.5,-15.600095268775
156278125,-15.6655332692454
159403087.5,-15.6537708918525
162528050,-15.6656830836355
165653012.5,-15.6759251865907
168777975,-15.6731527492693
171902937.5,-15.6331403073228
175027900,-15.6615078873117
178152862.5,-15.6280970185543
181277825,-15.6855214875459
184402787.5,-15.6994857680604
187527750,-15.7434651348174
190652712.5,-15.7521637795636
193777675,-15.7594088926056
196902637.5,-15.8283517670956
200027600,-15.7681156432957
203152562.5,-15.7293831866133
206277525,-15.7945981855947
209402487.5,-15.7368293313537
212527450,-15.7715404670354
215652412.5,-15.8221916364728
218777375,-15.7899362881166
221902337.5,-15.813820522344
225027300,-15.8412321377169
228152262.5,-15.9168669436225
231277225,-15.9141406582679
234402187.5,-15.8958319926536
237527150,-15.8820900606132
240652112.5,-15.8694197850125
243777075,-15.8851970116927
246902037.5,-15.9374836415448
250027000,-15.8813616624624
253151962.5,-15.8493218889322
256276925,-15.8595497437438
259401887.5,-15.9382616419229
262526850,-15.9425503587991
265651812.5,-16.0077714297153
268776775,-16.0077316842312
271901737.5,-15.9955433678562
275026700,-16.0360007873697
278151662.5,-15.94010356638
281276625,-15.922482249083
284401587.5,-16.0086134089764
287526550,-16.0144918268851
290651512.5,-16.0881392260137
293776475,-16.0507483778658
296901437.5,-16.0808741627713
300026400,-16.0815336974045
303151362.5,-16.0662652254548
306276325,-16.037007588766
309401287.5,-16.0262871675429
312526250,-16.0179373877322
315651212.5,-16.1253619899151
318776175,-16.0955297179835
321901137.5,-16.0362510588488
325026100,-16.1128193204022
328151062.5,-16.104362655166
331276025,-16.1676753223256
334400987.5,-16.2241439855216
337525950,-16.2174175350955
340650912.5,-16.2196768828419
343775875,-16.2186474126612
346900837.5,-16.2113395829281
350025800,-16.1228475148236
