NA, FW_VERSION, FW_DATE ,,,,,,,,,
HP8720ES,7.74,30-Oct-02,,,,,,,,,
DATE, TIME,,,,,,,,,,
16-Dec-16,15:30:45,,,,,,,,,,
CHAN,MEAS,FORMAT,,,,,,,,,
1,S21,LOG_MAG,,,,,,,,,
CHAN_START_FREQ,CHAN_STOP_FREQ,,,,,,,,,,
250000000,2150000000,,,,,,,,,,
POINTS, POWER, IF_BW,,,,,,,,,
201,0.00E+00,3000,,,,,,,,,
FREQUENCY,UNITS (sfu to aim),109,110,pad,sfu to aim input,sfu to FSW,,,,,
Hz,dB,,,,,,,Freq(MHz),,AIM loss (dB),FSW loss (dB)
250000000,-2.054,-15.975,-11.54,-5.77,-7.824,-15.975,,250,250000000,-7.824,-15.975
259500000,-2.104,-16.019,-11.556,-5.778,-7.882,-16.019,,270,270000000,-7.909,-16.044
269000000,-2.137,-16.044,-11.544,-5.772,-7.909,-16.044,,290,290000000,-7.9265,-16.084
278500000,-2.134,-16.055,-11.535,-5.7675,-7.9015,-16.055,,310,310000000,-7.941,-16.125
288000000,-2.148,-16.084,-11.557,-5.7785,-7.9265,-16.084,,330,330000000,-7.9985,-16.19
297500000,-2.154,-16.099,-11.549,-5.7745,-7.9285,-16.099,,350,350000000,-8.0445,-16.25
307000000,-2.16,-16.125,-11.562,-5.781,-7.941,-16.125,,370,370000000,-8.0645,-16.297
316500000,-2.204,-16.155,-11.558,-5.779,-7.983,-16.155,,390,390000000,-8.129,-16.32
326000000,-2.224,-16.19,-11.549,-5.7745,-7.9985,-16.19,,410,410000000,-8.1755,-16.412
335500000,-2.257,-16.229,-11.558,-5.779,-8.036,-16.229,,430,430000000,-8.218,-16.451
345000000,-2.26,-16.25,-11.569,-5.7845,-8.0445,-16.25,,450,450000000,-8.2345,-16.514
354500000,-2.281,-16.278,-11.599,-5.7995,-8.0805,-16.278,,470,470000000,-8.2735,-16.566
364000000,-2.285,-16.297,-11.559,-5.7795,-8.0645,-16.297,,490,490000000,-8.582,-16.754
373500000,-2.294,-16.306,-11.56,-5.78,-8.074,-16.306,,510,510000000,-8.589,-16.814
383000000,-2.336,-16.32,-11.586,-5.793,-8.129,-16.32,,530,530000000,-8.6185,-16.847
392500000,-2.356,-16.394,-11.597,-5.7985,-8.1545,-16.394,,550,550000000,-8.638,-16.879
402000000,-2.376,-16.412,-11.599,-5.7995,-8.1755,-16.412,,570,570000000,-8.7005,-16.946
411500000,-2.374,-16.42,-11.599,-5.7995,-8.1735,-16.42,,590,590000000,-8.7215,-16.981
421000000,-2.405,-16.451,-11.626,-5.813,-8.218,-16.451,,610,610000000,-8.744,-17
430500000,-2.392,-16.437,-11.595,-5.7975,-8.1895,-16.437,,630,630000000,-8.799,-17.081
440000000,-2.426,-16.468,-11.598,-5.799,-8.225,-16.468,,650,650000000,-8.8245,-17.09
449500000,-2.439,-16.514,-11.591,-5.7955,-8.2345,-16.514,,670,670000000,-8.846,-17.143
459000000,-2.462,-16.526,-11.599,-5.7995,-8.2615,-16.526,,690,690000000,-8.876,-17.205
468500000,-2.468,-16.566,-11.611,-5.8055,-8.2735,-16.566,,710,710000000,-8.9055,-17.182
