Frequency (Hz),Insertion Loss (dB)
30000,-7.01176832797995
1279985,-1.23650789095631
2529970,-1.42018754294394
3779955,-1.85341981458223
5029940,-2.44935324761264
6279925,-3.11690816847581
7529910,-3.8043259602454
8779895,-4.54152190311436
10029880,-5.23589085015593
11279865,-5.99927962377641
12529850,-6.71024000647226
13779835,-7.43417245075992
15029820,-8.17246931641025
16279805,-8.98703280914577
17529790,-9.7731994488931
18779775,-10.6021043182333
20029760,-11.4334929054737
21279745,-12.3572393567648
22529730,-13.2828400533706
23779715,-14.0967617363054
25029700,-14.9470101199373
26279685,-15.4791315628648
27529670,-15.9421096571441
28779655,-16.2015062799273
30029640,-16.2677437509567
31279625,-16.0563231214485
32529610,-15.7166590035085
33779595,-15.1369310967563
35029580,-14.4996503630884
36279565,-13.7567224472452
37529550,-13.0017397581718
38779535,-12.2702356156391
40029520,-11.5795211094322
41279505,-10.9553493271571
42529490,-10.3248651636489
43779475,-9.75037109278205
45029460,-9.22471816682658
46279445,-8.69420639190324
47529430,-8.2590971459516
48779415,-7.82800535476574
50029400,-7.46372831874903
51279385,-7.07293453629682
52529370,-6.72895410783881
53779355,-6.42859376568651
55029340,-6.15976521916725
56279325,-5.9390019564534
57529310,-5.74709198878315
58779295,-5.56866563051308
60029280,-5.42355300684224
61279265,-5.32193766176747
62529250,-5.28802670349016
63779235,-5.2322805119798
65029220,-5.22858026946846
66279205,-5.28607189488767
67529190,-5.37169602736441
68779175,-5.5169430605961
70029160,-5.69956412584783
71279145,-5.98180125495442
72529130,-6.29594564664898
73779115,-6.64372004710756
75029100,-7.09275842148008
76279085,-7.57482626262577
77529070,-8.11010396202392
78779055,-8.70105460414223
80029040,-9.34753301754537
81279025,-9.97418028470582
82529010,-10.638279738461
83778995,-11.1969984001972
85028980,-11.7237213825676
86278965,-12.1601755694862
87528950,-12.439074245573
88778935,-12.719718683044
90028920,-12.9403473587536
91278905,-13.1066388091983
92528890,-13.284935527669
93778875,-13.3493092145258
95028860,-13.2630964750718
96278845,-13.0556715647202
97528830,-12.7056325338775
98778815,-12.336660360931
100028800,-12.0026858076017
101278785,-11.7239789416504
102528770,-11.4676082600995
103778755,-11.3159829752666
105028740,-11.2472159030431
106278725,-11.1922692636204
107528710,-11.1534766905317
108778695,-11.0432512256265
110028680,-10.8406391786725
111278665,-10.612401400195
112528650,-10.2737039342927
113778635,-9.9373174508837
115028620,-9.60768473299305
116278605,-9.26278558871296
117528590,-8.92702739476229
118778575,-8.59593263632086
120028560,-8.32687073445892
121278545,-8.01328603575161
122528530,-7.78935590332917
123778515,-7.53845357041094
125028500,-7.32770895447199
126278485,-7.13120018302021
127528470,-7.02324314611416
128778455,-6.8599076309409
130028440,-6.81759205562441
131278425,-6.80177681694814
132528410,-6.82472022539147
133778395,-6.88307860750204
135028380,-7.00620239367188
136278365,-7.14815574691035
137528350,-7.39787561774709
138778335,-7.62056716179422
140028320,-7.89823143351008
141278305,-8.20490293312153
142528290,-8.57010989289925
143778275,-8.90968970179643
145028260,-9.24514226378573
146278245,-9.60251046625756
147528230,-9.86676864481944
148778215,-10.1759363803342
150028200,-10.4187690214437
151278185,-10.6259917438137
152528170,-10.846670862143
153778155,-10.9717787694688
155028140,-11.1119801128239
