timestamp,Frequency (Hz),SFU Power (dBm),FSW Power (dBm)
2016-12-14T18:26:20.320097,270000000,-65,-76.4524688721
2016-12-14T18:26:27.001479,270000000,-40,-51.6627578735
2016-12-14T18:26:33.939876,270000000,-20,-31.710144043
2016-12-14T18:26:40.815270,290000000,-65,-76.4590530396
2016-12-14T18:26:47.468650,290000000,-40,-51.6819076538
2016-12-14T18:26:54.375045,290000000,-20,-31.6209335327
2016-12-14T18:27:01.475451,310000000,-65,-76.6525878906
2016-12-14T18:27:08.126832,310000000,-40,-51.8915214539
2016-12-14T18:27:15.050228,310000000,-20,-31.8415660858
2016-12-14T18:27:21.974624,330000000,-65,-76.5290222168
2016-12-14T18:27:28.626004,330000000,-40,-51.722946167
2016-12-14T18:27:35.533399,330000000,-20,-31.7118549347
2016-12-14T18:27:42.403792,350000000,-65,-76.6087036133
2016-12-14T18:27:49.038172,350000000,-40,-51.817150116
2016-12-14T18:27:55.945567,350000000,-20,-31.7437953949
2016-12-14T18:28:02.853962,370000000,-65,-76.6494903564
2016-12-14T18:28:09.506342,370000000,-40,-51.8316421509
2016-12-14T18:28:16.429738,370000000,-20,-31.8317184448
2016-12-14T18:28:23.305132,390000000,-65,-76.6778869629
2016-12-14T18:28:29.957512,390000000,-40,-51.9245300293
2016-12-14T18:28:36.864907,390000000,-20,-31.8231925964
2016-12-14T18:28:43.756301,410000000,-65,-76.8179473877
2016-12-14T18:28:50.403682,410000000,-40,-52.0355567932
2016-12-14T18:28:57.326078,410000000,-20,-31.9780826569
2016-12-14T18:29:04.217472,430000000,-65,-76.8530197144
2016-12-14T18:29:10.869852,430000000,-40,-52.090385437
2016-12-14T18:29:17.809249,430000000,-20,-32.0149765015
2016-12-14T18:29:24.716644,450000000,-65,-76.8663711548
2016-12-14T18:29:31.369025,450000000,-40,-52.097328186
2016-12-14T18:29:38.276420,450000000,-20,-32.009967804
2016-12-14T18:29:45.151813,470000000,-65,-76.9000396729
2016-12-14T18:29:51.820194,470000000,-40,-52.0378303528
2016-12-14T18:29:58.760591,470000000,-20,-32.0762786865
2016-12-14T18:30:05.940002,490000000,-65,-76.7999038696
2016-12-14T18:30:12.575382,490000000,-40,-52.01146698
