timestamp,Frequency (Hz),SFU Power (dBm),FSW Power (dBm)
2016-12-19T16:45:21.568112,270000000,-65,-80.3720550537
2016-12-19T16:45:28.837528,270000000,-40,-55.8173561096
2016-12-19T16:45:36.270953,270000000,-20,-35.6772842407
2016-12-19T16:45:43.653375,290000000,-65,-80.3941726685
2016-12-19T16:45:50.929791,290000000,-40,-55.904914856
2016-12-19T16:45:58.373217,290000000,-20,-35.6844367981
2016-12-19T16:46:05.757639,310000000,-65,-80.5432510376
2016-12-19T16:46:13.027055,310000000,-40,-56.0068969727
2016-12-19T16:46:20.473481,310000000,-20,-35.8095436096
2016-12-19T16:46:27.856903,330000000,-65,-80.4399719238
2016-12-19T16:46:35.155321,330000000,-40,-55.9171142578
2016-12-19T16:46:42.590746,330000000,-20,-35.6880989075
2016-12-19T16:46:49.990169,350000000,-65,-80.5682296753
2016-12-19T16:46:57.276586,350000000,-40,-56.0018196106
2016-12-19T16:47:04.732013,350000000,-20,-35.8234634399
2016-12-19T16:47:12.106434,370000000,-65,-80.5889205933
2016-12-19T16:47:19.378850,370000000,-40,-56.0023040771
2016-12-19T16:47:26.807275,370000000,-20,-35.8298339844
2016-12-19T16:47:34.178697,390000000,-65,-80.6422271729
2016-12-19T16:47:41.462113,390000000,-40,-56.0578155518
2016-12-19T16:47:48.762531,390000000,-20,-35.9102096558
2016-12-19T16:47:56.161954,410000000,-65,-80.7707901001
2016-12-19T16:48:03.436370,410000000,-40,-56.2471084595
2016-12-19T16:48:10.738788,410000000,-20,-36.0567398071
2016-12-19T16:48:18.146212,430000000,-65,-80.8595199585
2016-12-19T16:48:25.398626,430000000,-40,-56.3738174438
2016-12-19T16:48:32.698044,430000000,-20,-36.1328735352
2016-12-19T16:48:40.081466,450000000,-65,-80.8119354248
2016-12-19T16:48:47.348882,450000000,-40,-56.3126335144
2016-12-19T16:48:54.653300,450000000,-20,-36.1144943237
2016-12-19T16:49:02.052723,470000000,-65,-80.8416671753
2016-12-19T16:49:09.342140,470000000,-40,-56.338218689
2016-12-19T16:49:16.643557,470000000,-20,-36.173034668
2016-12-19T16:49:24.042981,490000000,-65,-80.8106536865
2016-12-19T16:49:31.319397,490000000,-40,-56.3490142822
2016-12-19T16:49:38.615814,490000000,-20,-36.1262702942
