timestamp,Desired Frequency (Hz),Measured Power (dB)
2017-02-10T11:14:08.771520,954000000,-46.3417510986
2017-02-10T11:14:10.282607,1005000000,-46.1939659119
2017-02-10T11:14:11.807694,1056000000,-47.6272201538
2017-02-10T11:14:13.322781,1107000000,-47.5794677734
2017-02-10T11:14:14.832867,1158000000,-47.6558380127
2017-02-10T11:14:16.358954,1209000000,-47.9762611389
2017-02-10T11:14:17.865041,1260000000,-49.2398414612
2017-02-10T11:14:19.389128,1311000000,-49.4361343384
2017-02-10T11:14:20.902214,1362000000,-49.7499923706
2017-02-10T11:14:22.432302,1413000000,-49.3240318298
2017-02-10T11:14:23.949389,1464000000,-49.1629829407
2017-02-10T11:14:25.477476,1515000000,-49.6624031067
2017-02-10T11:14:26.999563,1566000000,-50.3944778442
2017-02-10T11:14:28.513650,1617000000,-50.07579422
2017-02-10T11:14:30.027736,1668000000,-50.4359054565
2017-02-10T11:14:31.542823,1719000000,-50.6434936523
2017-02-10T11:14:33.069910,1770000000,-50.7779769897
2017-02-10T11:14:34.603998,1822000000.0,-51.1551742554
2017-02-10T11:14:36.114084,1873000000.0,-51.2514419556
2017-02-10T11:14:37.636171,1924000000.0,-50.8132858276
2017-02-10T11:14:39.155258,1975000000.0,-51.8508110046
2017-02-10T11:14:40.683346,2026000000.0,-51.2325668335
2017-02-10T11:14:42.197432,2077000000.0,-56.7537345886
2017-02-10T11:14:43.744521,994000000,-52.5637664795
2017-02-10T11:14:45.254607,1045000000,-53.9245529175
2017-02-10T11:14:46.781694,1096000000,-54.8779144287
2017-02-10T11:14:48.285781,1147000000,-54.4489097595
2017-02-10T11:14:49.814868,1198000000,-55.129108429
2017-02-10T11:14:51.335955,1249000000,-55.8466567993
2017-02-10T11:14:52.821040,1300000000,-56.0992088318
2017-02-10T11:14:54.348127,1351000000,-56.6591415405
2017-02-10T11:14:55.868214,1402000000,-56.3306655884
2017-02-10T11:14:57.392301,1453000000,-55.9174156189
2017-02-10T11:14:58.909388,1504000000,-56.5073852539
2017-02-10T11:15:00.423475,1555000000,-56.8025932312
2017-02-10T11:15:01.936561,1606000000,-56.5197753906
2017-02-10T11:15:03.449648,1657000000,-57.1691131592
2017-02-10T11:15:04.978735,1708000000,-57.7950286865
2017-02-10T11:15:06.503823,1759000000,-58.004070282
2017-02-10T11:15:07.995908,1810000000,-57.994972229
2017-02-10T11:15:09.517995,1862000000.0,-57.8918533325
2017-02-10T11:15:11.043082,1913000000.0,-57.4754257202
2017-02-10T11:15:12.544168,1964000000.0,-58.7286148071
2017-02-10T11:15:14.037253,2015000000.0,-58.5575637817
2017-02-10T11:15:15.566341,2066000000.0,-58.1337280273
2017-02-10T11:15:18.585514,2117000000.0,-60.4799804688
2017-02-10T11:15:20.147603,974000000,-46.3226699829
2017-02-10T11:15:21.684691,1025000000,-47.1503143311
2017-02-10T11:15:23.233779,1076000000,-48.7198638916
2017-02-10T11:15:24.741866,1127000000,-48.4137649536
2017-02-10T11:15:26.300955,1178000000,-49.4812164307
2017-02-10T11:15:27.820042,1229000000,-49.3949127197
2017-02-10T11:15:29.362130,1280000000,-49.9957237244
2017-02-10T11:15:30.887217,1331000000,-49.9115943909
2017-02-10T11:15:32.422305,1382000000,-49.895324707
2017-02-10T11:15:33.935392,1433000000,-49.8909378052
2017-02-10T11:15:35.480480,1484000000,-50.2674560547
2017-02-10T11:15:36.987566,1535000000,-50.9194908142
2017-02-10T11:15:38.499653,1586000000,-50.4899978638
2017-02-10T11:15:40.016739,1637000000,-50.7202453613
2017-02-10T11:15:41.571828,1688000000,-51.4865875244
2017-02-10T11:15:43.062914,1739000000,-52.0492172241
2017-02-10T11:15:44.591001,1790000000,-52.3160743713
2017-02-10T11:15:46.116088,1842000000.0,-51.8871765137
2017-02-10T11:15:47.656176,1893000000.0,-51.5998039246
2017-02-10T11:15:49.162262,1944000000.0,-51.3149414062
2017-02-10T11:15:50.717351,1995000000.0,-52.5852012634
2017-02-10T11:15:52.235438,2046000000.0,-53.2540435791
2017-02-10T11:15:53.779527,2097000000.0,-52.6806716919
