,timestamp,Desired Frequency (Hz),Measured Power (dB),adjusted value (dB),SLG output Power,SLG new Power
0,2017-02-10T11:14:08.771520,954000000.0,-46.3417510986,17.552411015400004,-22.2,-39.7524110154
1,2017-02-10T11:14:10.282607,1005000000.0,-46.193965911899994,17.881214396100006,-22.9,-40.781214396100005
2,2017-02-10T11:14:11.807694,1056000000.0,-47.6272201538,16.6812574892,-29.1,-45.7812574892
3,2017-02-10T11:14:13.322781,1107000000.0,-47.579467773400005,16.80764796159999,-22.3,-39.107647961599994
4,2017-02-10T11:14:14.832867,1158000000.0,-47.6558380127,17.0057164333,-23.6,-40.6057164333
5,2017-02-10T11:14:16.358954,1209000000.0,-47.9762611389,16.981895923099998,-30.2,-47.1818959231
6,2017-02-10T11:14:17.865041,1260000000.0,-49.2398414612,16.0100852758,-23.8,-39.810085275800006
7,2017-02-10T11:14:19.389128,1311000000.0,-49.4361343384,15.821154248599996,-24.9,-40.721154248599994
8,2017-02-10T11:14:20.902214,1362000000.0,-49.749992370600005,15.797789690399995,-31.0,-46.797789690399995
9,2017-02-10T11:14:22.432302,1413000000.0,-49.32403182979999,16.39258055020001,-24.0,-40.39258055020001
10,2017-02-10T11:14:23.949389,1464000000.0,-49.1629829407,16.6513886913,-24.9,-41.5513886913
11,2017-02-10T11:14:25.477476,1515000000.0,-49.6624031067,16.2587989643,-30.7,-46.9587989643
12,2017-02-10T11:14:26.999563,1566000000.0,-50.394477844200004,15.639128184799993,-23.8,-39.4391281848
13,2017-02-10T11:14:28.513650,1617000000.0,-50.07579422,16.437826119,-25.2,-41.637826118999996
14,2017-02-10T11:14:30.027736,1668000000.0,-50.435905456499995,16.069036708500008,-31.4,-47.469036708500006
15,2017-02-10T11:14:31.542823,1719000000.0,-50.643493652299995,16.26405239870001,-24.3,-40.564052398700014
16,2017-02-10T11:14:33.069910,1770000000.0,-50.7779769897,16.484231658299997,-25.5,-41.9842316583
17,2017-02-10T11:14:34.603998,1822000000.0,-51.1551742554,16.311686600600005,-32.0,-48.311686600600005
18,2017-02-10T11:14:36.114084,1873000000.0,-51.2514419556,16.2763406324,-24.9,-41.1763406324
19,2017-02-10T11:14:37.636171,1924000000.0,-50.813285827600005,16.870753323399995,-25.7,-42.5707533234
20,2017-02-10T11:14:39.155258,1975000000.0,-51.8508110046,16.201019968400004,-32.2,-48.40101996840001
21,2017-02-10T11:14:40.683346,2026000000.0,-51.2325668335,16.4443120085,-25.3,-41.7443120085
22,2017-02-10T11:14:42.197432,2077000000.0,-56.7537345886,2.1107283134000028,-26.1,-28.210728313400004
23,2017-02-10T11:14:43.744521,994000000.0,-52.563766479499996,0.1450174085000029,-32.4,-32.5450174085
24,2017-02-10T11:14:45.254607,1045000000.0,-53.9245529175,-1.0356173205000019,-25.5,-24.464382679499998
25,2017-02-10T11:14:46.781694,1096000000.0,-54.8779144287,-1.6792689076999991,-25.8,-24.1207310923
26,2017-02-10T11:14:48.285781,1147000000.0,-54.4489097595,-1.1225227425000028,-31.9,-30.777477257499996
27,2017-02-10T11:14:49.814868,1198000000.0,-55.129108429,-1.5545933449999936,-25.2,-23.645406655000006
28,2017-02-10T11:14:51.335955,1249000000.0,-55.8466567993,-2.1546416282999985,-25.6,-23.445358371700003
29,2017-02-10T11:14:52.821040,1300000000.0,-56.099208831800006,-2.279963875800007,-31.7,-29.420036124199992
30,2017-02-10T11:14:54.348127,1351000000.0,-56.6591415405,-2.4362271235000037,-25.0,-22.563772876499996
31,2017-02-10T11:14:55.868214,1402000000.0,-56.3306655884,-1.9160435854000042,-26.0,-24.083956414599996
32,2017-02-10T11:14:57.392301,1453000000.0,-55.9174156189,-1.2411615789000052,-32.5,-31.258838421099995
33,2017-02-10T11:14:58.909388,1504000000.0,-56.507385253900004,-1.9614119759000062,-25.7,-23.738588024099993
34,2017-02-10T11:15:00.423475,1555000000.0,-56.8025932312,-2.088961017200006,-26.6,-24.511038982799995
35,2017-02-10T11:15:01.936561,1606000000.0,-56.5197753906,-1.5192048996000054,-32.5,-30.980795100399995
36,2017-02-10T11:15:03.449648,1657000000.0,-57.1691131592,-1.8488510202000015,-25.7,-23.851148979799998
37,2017-02-10T11:15:04.978735,1708000000.0,-57.7950286865,-1.990099902499999,-25.9,-23.9099000975
38,2017-02-10T11:15:06.503823,1759000000.0,-58.004070282,-2.02855263,-32.0,-29.97144737
39,2017-02-10T11:15:07.995908,1810000000.0,-57.994972229,-1.7603851550000016,-25.3,-23.539614845
40,2017-02-10T11:15:09.517995,1862000000.0,-57.8918533325,-1.530207110499994,-26.2,-24.669792889500005
41,2017-02-10T11:15:11.043082,1913000000.0,-57.47542572020001,-1.0368443092000064,-32.5,-31.463155690799994
42,2017-02-10T11:15:12.544168,1964000000.0,-58.7286148071,-1.9996095081000007,-25.7,-23.7003904919
43,2017-02-10T11:15:14.037253,2015000000.0,-58.557563781700004,-2.0557778077000037,-25.2,-23.144222192299996
44,2017-02-10T11:15:15.566341,2066000000.0,-58.133728027299995,-1.1850974322999903,-32.9,-31.71490256770001
45,2017-02-10T11:15:18.585514,2117000000.0,-60.4799804688,-1.4561194678000007,-25.8,-24.3438805322
46,2017-02-10T11:15:20.147603,974000000.0,-46.3226699829,0.30986587909999486,-26.8,-27.109865879099996
47,2017-02-10T11:15:21.684691,1025000000.0,-47.1503143311,-0.17159322710000424,-32.8,-32.62840677289999
48,2017-02-10T11:15:23.233779,1076000000.0,-48.7198638916,-1.5505660335999991,-26.0,-24.4494339664
49,2017-02-10T11:15:24.741866,1127000000.0,-48.413764953599994,-1.1589528905999913,-27.0,-25.84104710940001
50,2017-02-10T11:15:26.300955,1178000000.0,-49.481216430699995,-1.9306706616999918,-33.1,-31.16932933830001
51,2017-02-10T11:15:27.820042,1229000000.0,-49.3949127197,-1.407707199699999,-26.0,-24.5922928003
52,2017-02-10T11:15:29.362130,1280000000.0,-49.995723724399994,-1.993964579399993,-26.7,-24.706035420600006
53,2017-02-10T11:15:30.887217,1331000000.0,-49.9115943909,-1.6269575498999984,-32.7,-31.073042450100004
54,2017-02-10T11:15:32.422305,1382000000.0,-49.895324707,-1.482757006,-25.6,-24.117242994
55,2017-02-10T11:15:33.935392,1433000000.0,-49.890937805200004,-1.5010859941999968,-26.2,-24.698914005800003
56,2017-02-10T11:15:35.480480,1484000000.0,-50.267456054700006,-1.5775654877000065,-32.6,-31.022434512299995
57,2017-02-10T11:15:36.987566,1535000000.0,-50.9194908142,-2.1391250652000053,-25.6,-23.460874934799996
58,2017-02-10T11:15:38.499653,1586000000.0,-50.4899978638,-1.495502098800003,-26.5,-25.004497901199997
59,2017-02-10T11:15:40.016739,1637000000.0,-50.7202453613,-1.3014118603,-33.0,-31.6985881397
60,2017-02-10T11:15:41.571828,1688000000.0,-51.486587524399994,-1.795924775399996,-26.3,-24.504075224600005
61,2017-02-10T11:15:43.062914,1739000000.0,-52.0492172241,-2.1088434570999937,-27.2,-25.091156542900006
62,2017-02-10T11:15:44.591001,1790000000.0,-52.316074371300004,-2.1628599043000065,-33.2,-31.037140095699996
63,2017-02-10T11:15:46.116088,1842000000.0,-51.8871765137,-1.5720882846999942,-26.3,-24.727911715300007
64,2017-02-10T11:15:47.656176,1893000000.0,-51.5998039246,-1.217671737600007,-28.0,-26.782328262399993
65,2017-02-10T11:15:49.162262,1944000000.0,-51.3149414062,-0.5449018961999954,-33.0,-32.455098103800005
66,2017-02-10T11:15:50.717351,1995000000.0,-52.5852012634,-1.799924032400007,-31.5,-29.700075967599993
67,2017-02-10T11:15:52.235438,2046000000.0,-53.2540435791,-2.629386971099997,-26.9,-24.2706130289
68,2017-02-10T11:15:53.779527,2097000000.0,-52.680671691899995,-1.457945468899993,-35.5,-34.04205453110001
