timestamp,Desired Frequency (Hz),Measured Power (dB)
2017-02-10T15:31:51.721589,954000000,-46.3356056213
2017-02-10T15:31:53.232676,1005000000,-46.2366523743
2017-02-10T15:31:54.720761,1056000000,-47.64427948
2017-02-10T15:31:56.242848,1107000000,-47.5940742493
2017-02-10T15:31:57.760935,1158000000,-47.6656341553
2017-02-10T15:31:59.268021,1209000000,-47.9827804565
2017-02-10T15:32:00.789108,1260000000,-49.2572441101
2017-02-10T15:32:02.313195,1311000000,-49.4678192139
2017-02-10T15:32:03.830282,1362000000,-49.7764282227
2017-02-10T15:32:05.343368,1413000000,-47.252407074
2017-02-10T15:32:06.856455,1464000000,-46.7415046692
2017-02-10T15:32:08.372542,1515000000,-47.687625885
2017-02-10T15:32:09.886628,1566000000,-48.5658569336
2017-02-10T15:32:11.397715,1617000000,-48.3440704346
2017-02-10T15:32:12.890800,1668000000,-48.5142593384
2017-02-10T15:32:14.404887,1719000000,-49.1438102722
2017-02-10T15:32:15.920973,1770000000,-49.1419181824
2017-02-10T15:32:17.431060,1822000000.0,-49.695930481
2017-02-10T15:32:18.912144,1873000000.0,-49.6959342957
2017-02-10T15:32:20.428231,1924000000.0,-48.5750236511
2017-02-10T15:32:21.945318,1975000000.0,-50.0265083313
2017-02-10T15:32:23.452404,2026000000.0,-49.5997657776
2017-02-10T15:32:24.933489,2077000000.0,-54.9254570007
2017-02-10T15:32:26.475577,994000000,-52.6131477356
2017-02-10T15:32:27.980663,1045000000,-53.9670600891
2017-02-10T15:32:29.487749,1096000000,-54.9186248779
2017-02-10T15:32:30.976834,1147000000,-54.4733390808
2017-02-10T15:32:32.491921,1198000000,-55.1719589233
2017-02-10T15:32:34.011008,1249000000,-55.8739128113
2017-02-10T15:32:35.511094,1300000000,-56.1242675781
2017-02-10T15:32:36.993179,1351000000,-56.7179527283
2017-02-10T15:32:38.510265,1402000000,-56.3665008545
2017-02-10T15:32:40.024352,1453000000,-53.6649665833
2017-02-10T15:32:41.526438,1504000000,-55.2704238892
2017-02-10T15:32:43.013523,1555000000,-55.2389984131
2017-02-10T15:32:44.530610,1606000000,-54.5692825317
2017-02-10T15:32:46.045696,1657000000,-56.1025466919
2017-02-10T15:32:47.551782,1708000000,-56.6235656738
2017-02-10T15:32:49.037867,1759000000,-57.7721786499
2017-02-10T15:32:50.546954,1810000000,-56.0714187622
2017-02-10T15:32:52.037039,1862000000.0,-56.1996650696
2017-02-10T15:32:53.535125,1913000000.0,-55.8216323853
2017-02-10T15:32:55.018210,1964000000.0,-57.4350776672
2017-02-10T15:32:56.525296,2015000000.0,-56.3450622559
2017-02-10T15:32:58.039382,2066000000.0,-57.5185775757
2017-02-10T15:32:59.543468,2117000000.0,-59.5085601807
2017-02-10T15:33:01.041554,974000000,-46.3669509888
2017-02-10T15:33:02.548640,1025000000,-47.1950073242
2017-02-10T15:33:04.067727,1076000000,-48.7681770325
2017-02-10T15:33:05.588814,1127000000,-48.4661064148
2017-02-10T15:33:07.077899,1178000000,-49.5128707886
2017-02-10T15:33:08.606987,1229000000,-49.4263534546
2017-02-10T15:33:10.128074,1280000000,-50.0363082886
2017-02-10T15:33:11.645161,1331000000,-49.932723999
2017-02-10T15:33:13.155247,1382000000,-49.9454536438
2017-02-10T15:33:14.676334,1433000000,-47.7381515503
2017-02-10T15:33:16.200421,1484000000,-48.4034500122
2017-02-10T15:33:17.726508,1535000000,-48.8978919983
2017-02-10T15:33:19.247595,1586000000,-48.5367622375
2017-02-10T15:33:20.784683,1637000000,-49.1595115662
2017-02-10T15:33:22.303770,1688000000,-51.5282669067
2017-02-10T15:33:23.828857,1739000000,-52.2848815918
2017-02-10T15:33:25.341944,1790000000,-51.1010360718
2017-02-10T15:33:26.854030,1842000000.0,-49.8793716431
2017-02-10T15:33:28.369117,1893000000.0,-50.0860748291
2017-02-10T15:33:29.882204,1944000000.0,-49.8116760254
2017-02-10T15:33:31.393290,1995000000.0,-50.4566421509
2017-02-10T15:33:32.923378,2046000000.0,-51.9333076477
2017-02-10T15:33:34.440464,2097000000.0,-50.0767745972
