timestamp,Desired Frequency (Hz),FSW Theoretical Power (dBm),FSW Actual Power (dBm),FSW CNR (dB),AIM Theoretical Power (dBm),AIM Actual Power (dBm),AIM SNR (dB),AIM Freq Offset (Hz),AIM Demod Lock,AIM Demod Acq Time (sec),Estimated Power Delta
2017-01-27T18:13:47.974522,274000000,-46.7,-47.3453598,22.32175446,-39.7,-40.65511158,21.50810819,-950518,TRUE,0.25,-0.309751774
2017-01-27T18:14:01.675306,314000000,-46.7,-46.52611542,22.9176712,-39.7,-39.82866619,24.57631256,890722,TRUE,0,-0.302550771
2017-01-27T18:14:15.456094,354000000,-46.7,-46.99348068,22.05719376,-39.7,-40.82419675,23.35983352,-338365,TRUE,0,-0.830716066
2017-01-27T18:14:29.226881,394000000,-46.7,-46.49026489,22.3900528,-39.7,-40.787493,22.21493527,872784,TRUE,0,-1.29722811
2017-01-27T18:14:43.107675,434000000,-46.7,-46.77314758,21.33740234,-39.7,-41.69724553,22.55600943,-356308.6531,TRUE,0,-1.924097951
2017-01-27T18:14:57.048473,474000000,-46.7,-46.40932083,21.76954269,-39.7,-41.03584313,22.9215595,270195.6735,TRUE,0.25,-1.626522294
2017-01-27T18:15:10.669252,514000000,-46.7,-46.69246292,27.07292557,-39.7,-41.21153029,23.46752225,-346739.3265,TRUE,0.25,-1.519067372
2017-01-27T18:15:24.430039,554000000,-46.7,-46.63182068,27.4961853,-39.7,-40.93395041,25.44370321,252260,TRUE,0,-1.302129735
2017-01-27T18:15:38.230828,598000000,-46.7,-45.96836853,27.7957077,-39.7,-41.151165,21.97885183,247476,TRUE,0,-2.182796472
2017-01-27T18:15:51.862608,642000000,-46.7,-46.40512085,27.65375519,-39.7,-41.51469847,23.06432508,253456,TRUE,0,-2.109577624
2017-01-27T18:16:05.632396,682000000,-46.7,-46.34178162,27.48851013,-39.7,-42.28071076,21.143184,248672,TRUE,0.25,-2.938929142
2017-01-27T18:16:19.530190,726000000,-46.7,-46.88423157,26.814888,-39.7,-42.59025971,21.98542659,-376634,TRUE,0.25,-2.706028147
2017-01-27T18:16:37.833237,974000000,-45.5,-45.56028748,26.49111176,-39.7,-42.17479436,25.94253523,123524.449,TRUE,0.25,-2.414506884
2017-01-27T18:16:52.424072,1003000000,-45.5,-45.96508408,26.24805832,-39.7,-42.56968924,22.06982117,112362.4167,TRUE,0.25,-2.404605167
2017-01-27T18:17:07.181916,1032000000,-45.5,-45.56697845,26.06809235,-39.7,-42.3186869,21.99546242,102000,TRUE,0.25,-2.551708449
2017-01-27T18:17:21.875756,1061000000,-45.5,-45.64179993,25.87268066,-39.7,-42.6115676,23.13193171,101202,TRUE,0.25,-2.769767678
2017-01-27T18:17:36.506593,1091000000,-45.5,-46.32103348,25.74914169,-39.7,-43.36669832,21.36549229,95621,TRUE,0.25,-2.845664847
2017-01-27T18:17:51.197434,1120000000,-45.5,-45.11742401,25.89704132,-39.7,-42.58747194,22.7770498,103594,TRUE,0.25,-3.270047934
2017-01-27T18:18:05.807269,1149000000,-45.5,-45.59958649,25.74163055,-39.7,-42.92281185,23.14589385,102797,TRUE,0.25,-3.123225359
2017-01-27T18:18:20.468108,1178000000,-45.5,-46.2817955,25.59847641,-39.7,-43.2466478,21.93581074,92430.41667,TRUE,0.25,-2.764852297
2017-01-27T18:18:35.059942,1207000000,-45.5,-45.22642517,25.53147125,-39.7,-42.95283608,20.70583568,91633.41667,TRUE,0.25,-3.526410905
2017-01-27T18:18:49.729781,1236000000,-45.5,-45.60175323,25.31111145,-39.7,-43.20244845,21.6211028,90038.41667,TRUE,0.25,-3.400695212
2017-01-27T18:19:04.330617,1266000000,-45.5,-46.1308136,25.13492584,-39.7,-43.243504,20.94375817,94027,TRUE,0.25,-2.912690405
2017-01-27T18:19:18.960453,1295000000,-45.5,-45.87177277,24.78824615,-39.7,-43.51889436,21.44382839,93228.39583,TRUE,0.25,-3.447121591
2017-01-27T18:19:33.552288,1324000000,-45.5,-45.81956482,24.70105743,-39.7,-43.69619686,21.03667096,92430.41667,TRUE,0.25,-3.676632041
2017-01-27T18:19:48.240128,1353000000,-45.5,-46.12735367,24.59501266,-39.7,-44.16891888,21.23647919,72498.41667,TRUE,0.25,-3.841565216
2017-01-27T18:20:02.932968,1382000000,-45.5,-46.08045959,24.67971802,-39.7,-44.71767752,20.57291824,70904.44898,TRUE,0.25,-4.437217926
2017-01-27T18:20:17.494801,1411000000,-45.5,-46.58237839,24.55797195,-39.7,-45.02950625,20.96906862,79676,TRUE,0.25,-4.247127862
2017-01-27T18:20:35.696842,1674000000,-44.1,-44.67266083,30.52859497,-39.7,-43.47232971,22.21963211,148211.4,TRUE,0,-3.199668883
2017-01-27T18:20:49.427628,1718000000,-44.1,-44.49990845,31.62493896,-39.7,-43.07591795,24.15529436,-468723.6,TRUE,0,-2.976009507
2017-01-27T18:21:03.267419,1758000000,-44.1,-44.61803055,32.40754318,-39.7,-43.42337359,24.20834501,149412,TRUE,0,-3.205343041
2017-01-27T18:21:17.039207,1802000000,-44.1,-44.34428406,33.26366425,-39.7,-43.03667288,23.12389531,144623.3469,TRUE,0,-3.092388823
2017-01-27T18:21:30.779993,1846000000,-44.1,-44.68964005,32.93400192,-39.7,-42.83384944,23.80738496,131473,TRUE,0,-2.544209395
2017-01-27T18:21:44.640786,1886000000,-44.1,-44.88818741,32.93176651,-39.7,-42.60511778,23.41482435,137453,TRUE,0,-2.116930368
2017-01-27T18:21:58.430574,1926000000,-44.1,-44.33254623,33.60697556,-39.7,-42.7439687,25.80389347,132664.44,TRUE,0,-2.811422467
2017-01-27T18:22:12.201362,1966000000,-44.1,-44.92606735,32.87265396,-39.7,-42.39196219,23.37710037,118318,TRUE,0,-1.865894838
2017-01-27T18:22:26.055155,2006000000,-44.1,-44.8106575,32.61727524,-39.7,-42.36116103,24.40343323,113530.4,TRUE,0,-1.95050353
2017-01-27T18:22:39.902947,2046000000,-44.1,-44.86806488,32.77339172,-39.7,-42.54216852,22.58088391,119514,TRUE,0,-2.074103638
2017-01-27T18:22:53.615731,2086000000,-44.1,-45.01010895,32.04815674,-39.7,-42.85220623,22.64356897,726883,TRUE,0,-2.242097279
2017-01-27T18:23:09.594645,2126000000,-44.1,-44.97756195,32.22241974,-39.7,-42.71873707,23.32678375,100375.4,TRUE,0,-2.141175124
