timestamp,Desired Frequency (Hz),FSW Theoretical Power (dBm),FSW Actual Power (dBm),FSW CNR (dB),AIM Theoretical Power (dBm),AIM Actual Power (dBm),AIM SNR (dB),AIM Freq Offset (Hz),AIM Demod Lock,AIM Demod Acq Time (sec),Estimated Power Delta
2017-01-24T10:59:51.964722,974000000,-45.5,-45.81578064,15.58559799,-39.7,-41.2108,22.57959184,123526,TRUE,0.25,-2.39501936
2017-01-24T11:00:04.888461,1003000000,-45.5,-46.21488953,20.77286148,-39.7,-41.6244,22.74285714,-291750,TRUE,0.25,-2.409510474
2017-01-24T11:00:16.966152,1032000000,-45.5,-45.85679626,21.00217438,-39.7,-41.23816327,22.60041667,102016.6042,TRUE,0.25,-2.381367001
2017-01-24T11:00:29.037842,1061000000,-45.5,-45.71257782,21.35984039,-39.7,-41.6218,23.47469388,101202,TRUE,0.25,-2.90922218
2017-01-24T11:00:41.053530,1091000000,-45.5,-46.37180328,21.25199318,-39.7,-42.44081633,21.56354167,95619.41667,TRUE,0.25,-3.069013043
2017-01-24T11:00:53.090218,1120000000,-45.5,-45.68111038,22.05428123,-39.7,-41.67693878,21.79479167,104389.4167,TRUE,0.25,-2.995828393
2017-01-24T11:01:05.226912,1149000000,-45.5,-45.80355453,22.05508423,-39.7,-42.0176,21.3477551,103592.449,TRUE,0.25,-3.214045465
2017-01-24T11:01:17.603620,1178000000,-45.5,-46.21551132,22.46719551,-39.7,-42.352,23.71857143,92430.44898,TRUE,0.25,-3.136488678
2017-01-24T11:01:29.933325,1207000000,-45.5,-45.70941544,22.42218208,-39.7,-42.0278,21.34061224,91635,TRUE,0.25,-3.318384564
2017-01-24T11:01:42.005016,1236000000,-45.5,-46.11818314,21.72908401,-39.7,-42.2556,20.99428571,90838,TRUE,0.25,-3.137416864
2017-01-24T11:01:54.339721,1266000000,-45.5,-46.05888748,21.81116486,-39.7,-42.23571429,20.69833333,94824,TRUE,0.25,-3.176826804
2017-01-24T11:02:06.386410,1295000000,-45.5,-46.14016724,21.27610207,-39.7,-42.48877551,20.98645833,94027,TRUE,0.25,-3.348608274
2017-01-24T11:02:18.426099,1324000000,-45.5,-46.32690048,20.55376434,-39.7,-42.6638,21.23836735,92432,TRUE,0.25,-3.336899518
2017-01-24T11:02:30.498789,1353000000,-45.5,-46.30289459,20.06037712,-39.7,-43.0244898,20.57145833,72498.41667,TRUE,0.25,-3.721595204
2017-01-24T11:02:42.546479,1382000000,-45.5,-46.50547028,19.90563583,-39.7,-43.65204082,20.94104167,71701.41667,TRUE,0.25,-4.14657054
2017-01-24T11:02:54.862183,1411000000,-45.5,-46.81523132,12.08980751,-39.7,-43.7855102,21.09333333,80471.41667,TRUE,0.25,-3.970278881
