timestamp,Frequency (Hz),SFU Power (dBm),SFU SNR (dB),FSW_SNR(dB),AIM Power,AIM SNR,AIM Offset,AIM Demod Lock,AIM Demod Acq Time
2016-12-22T13:56:08.620695,270000000,-20,8,8.122615814200003,-27.85519999999998,8.003200000000009,26233.0,True,0.0
2016-12-22T13:56:17.798220,270000000,-20,9,9.106632232599999,-27.973265306122464,8.997959183673478,26233.0,True,0.0
2016-12-22T13:56:26.967744,270000000,-20,10,10.038757324199999,-28.031428571428552,9.888775510204079,26233.0,True,0.0
2016-12-22T13:56:36.138269,270000000,-20,11,11.0604782104,-28.140800000000002,10.987200000000003,26233.0,True,0.0
2016-12-22T13:56:45.268791,270000000,-20,12,12.068817138699998,-28.204693877551048,11.781020408163267,26233.0,True,0.0
2016-12-22T13:56:54.600325,270000000,-20,13,13.116500854500003,-28.252244897959176,12.921224489795923,26228.34693877551,True,0.0
2016-12-22T13:57:03.885856,270000000,-20,14,14.167396545399995,-28.226734693877564,13.778571428571432,26233.0,True,0.0
2016-12-22T13:57:13.188388,270000000,-20,15,15.115829467799998,-28.296530612244876,14.998979591836736,26228.34693877551,True,0.0
2016-12-22T13:57:22.540923,270000000,-20,16,16.156333923300004,-28.294399999999996,16.26599999999999,26233.0,True,0.0
2016-12-22T13:57:31.844455,270000000,-20,17,17.2043190002,-28.287999999999982,16.774800000000006,26233.0,True,0.0
2016-12-22T13:57:41.228992,270000000,-20,18,18.1613693237,-28.30359999999998,17.785200000000007,26233.0,True,0.0
2016-12-22T13:57:50.559525,270000000,-20,19,19.148468017599996,-28.321599999999986,18.5084,26233.0,True,0.0
2016-12-22T13:57:59.888059,270000000,-20,20,20.1699867249,-28.269999999999992,19.18755102040816,26233.0,True,0.0
2016-12-22T13:58:09.343600,290000000,-20,8,8.1286506653,-27.877600000000026,7.869199999999998,24146.0,True,0.0
2016-12-22T13:58:18.542126,290000000,-20,9,9.087890625,-27.950800000000026,8.946800000000003,24141.44,True,0.0
2016-12-22T13:58:27.668648,290000000,-20,10,10.0828475952,-28.053877551020378,10.007551020408162,24141.34693877551,True,0.0
2016-12-22T13:58:36.832172,290000000,-20,11,11.0894927979,-28.11479999999998,10.9048,24141.44,True,0.0
2016-12-22T13:58:46.004697,290000000,-20,12,12.087638855000002,-28.19408163265307,12.089795918367347,24146.0,True,0.0
2016-12-22T13:58:55.161220,290000000,-20,13,13.126892089899997,-28.221836734693888,12.882448979591842,24141.34693877551,True,0.0
2016-12-22T13:59:04.476753,290000000,-20,14,14.1501579285,-28.314081632653046,13.924489795918374,24141.34693877551,True,0.0
2016-12-22T13:59:13.763284,290000000,-20,15,15.187053680399998,-28.348799999999986,15.043200000000004,23989.4,True,0.0
2016-12-22T13:59:23.137821,290000000,-20,16,16.151958465600003,-28.36399999999998,15.941999999999997,23994.0,True,0.0
2016-12-22T13:59:32.462354,290000000,-20,17,17.187866211,-28.35559999999998,16.660000000000007,23989.4,True,0.0
2016-12-22T13:59:41.817889,290000000,-20,18,18.1663131714,-28.39142857142855,17.73367346938775,23994.0,True,0.0
2016-12-22T13:59:51.140422,290000000,-20,19,19.164611816400004,-28.406000000000027,18.679999999999996,23994.0,True,0.0
2016-12-22T14:00:00.411953,290000000,-20,20,20.160118103100004,-28.406938775510213,19.45693877551021,23994.0,True,0.0
