timestamp,Frequency (Hz),SFU SNR (dB),FSW POWER(dBm),FSW SNR (dB),FSW OFFSET (Hz)
2016-12-16T09:42:28.292052,270000000,8,-45.3701858521,9.25981235504,-159936.6875
2016-12-16T09:42:35.721477,270000000,9,-45.488910675,9.93241214752,10408.6298828
2016-12-16T09:42:43.221906,270000000,10,-45.6155052185,10.6637372971,19.5044879913
2016-12-16T09:42:50.639330,270000000,11,-45.6525650024,11.4276218414,27.1207427979
2016-12-16T09:42:58.041753,270000000,12,-45.7207756042,12.257101059,43.662071228
2016-12-16T09:43:05.582185,270000000,13,-45.7320251465,13.1453371048,44.6132659912
2016-12-16T09:43:12.941606,270000000,14,-45.7426643372,14.0865020752,60.0751571655
2016-12-16T09:43:20.459036,270000000,15,-45.7695846558,15.0494976044,36.537361145
2016-12-16T09:43:27.890461,270000000,16,-45.8049201965,15.9819879532,48.9975471497
2016-12-16T09:43:35.242881,270000000,17,-45.8014183044,16.986661911,34.1441040039
2016-12-16T09:43:42.594302,270000000,18,-45.8725509644,17.9821624756,45.2590522766
2016-12-16T09:43:49.947722,270000000,19,-45.8319854736,18.978969574,47.8195838928
2016-12-16T09:43:57.514155,270000000,20,-45.8342590332,19.946855545,45.1883544922
2016-12-16T09:44:05.196594,290000000,8,-45.2723617554,9.22912693024,2695.7565918
2016-12-16T09:44:12.564016,290000000,9,-45.375377655,9.91850280762,2687.08374023
2016-12-16T09:44:20.062445,290000000,10,-45.4790649414,10.6254005432,2.1544919014
2016-12-16T09:44:27.788887,290000000,11,-45.4950332642,11.3580846786,31.9839458466
2016-12-16T09:44:35.149308,290000000,12,-45.5775604248,12.17964077,31.3128833771
2016-12-16T09:44:42.433724,290000000,13,-45.6487426758,13.0600824356,45.1976470947
2016-12-16T09:44:49.864149,290000000,14,-45.6391983032,13.9456691742,59.6012191772
2016-12-16T09:44:57.164567,290000000,15,-45.6808624268,14.9433317184,49.1840362549
2016-12-16T09:45:04.501986,290000000,16,-45.6859664917,15.871471405,58.5705680847
2016-12-16T09:45:11.965413,290000000,17,-45.7060089111,16.8164558411,50.2059860229
2016-12-16T09:45:19.348836,290000000,18,-45.7644882202,17.7475147247,46.474395752
2016-12-16T09:45:26.717257,290000000,19,-45.755065918,18.6595058441,60.6332054138
2016-12-16T09:45:34.117680,290000000,20,-45.7626991272,19.5255622864,53.4434204102
2016-12-16T09:45:41.669112,310000000,8,-45.2609214783,9.25572681427,40209.40625
2016-12-16T09:45:49.048534,310000000,9,-45.344871521,9.9514503479,4213.42773438
2016-12-16T09:45:56.420956,310000000,10,-45.4403762817,10.6424064636,37.7169418335
2016-12-16T09:46:03.895384,310000000,11,-45.4797363281,11.4306211472,48.2036857605
2016-12-16T09:46:11.296807,310000000,12,-45.5443458557,12.2689113617,74.6632461548
2016-12-16T09:46:18.696230,310000000,13,-45.5865364075,13.1359758377,47.2945480347
2016-12-16T09:46:26.023649,310000000,14,-45.6552696228,14.0409383774,47.9446029663
2016-12-16T09:46:33.307066,310000000,15,-45.6252670288,15.0154209137,53.1487312317
2016-12-16T09:46:40.738491,310000000,16,-45.6736526489,15.9977960587,53.9869384766
2016-12-16T09:46:48.197918,310000000,17,-45.6818809509,16.9635620117,43.9322090149
2016-12-16T09:46:55.526337,310000000,18,-45.7317199707,17.9743347168,61.310798645
2016-12-16T09:47:02.895758,310000000,19,-45.7274780273,18.9414577484,51.9774436951
2016-12-16T09:47:10.341184,310000000,20,-45.7939300537,19.8758525848,53.3610916138
2016-12-16T09:47:18.076627,330000000,8,-45.055480957,9.23807811737,-3383.74780273
